DISTRITO_F,ZONA
Água Rasa,Leste
Alto de Pinheiros,Oeste
Anhanguera,Norte
Aricanduva,Leste
Artur Alvim,Leste
Barra Funda,Oeste
Bela Vista,Centro
Belém,Leste
Bom Retiro,Centro
Brás,Leste
Brasilândia,Norte
Butantã,Oeste
Cachoeirinha,Norte
Cambuci,Centro
Campo Belo,Sul
Campo Grande,Sul
Campo Limpo,Sul
Cangaiba,Leste
Capão Redondo,Sul
Carrão,Leste
Casa Verde,Norte
Cidade Ademar,Sul
Cidade Dutra,Sul
Cidade Lider,Leste
Cidade Tiradentes,Leste
Consolação,Centro
Cursino,Sul
Ermelino Matarazzo,Leste
Freguesia do Ó,Norte
Grajaú,Sul
Guaianases,Leste
Iguatemi,Leste
Ipiranga,Sul
Itaim Bibi,Oeste
Itaim Paulista,Leste
Itaquera,Leste
Jabaquara,Sul
Jaçanã,Norte
Jaguara,Oeste
Jaguaré,Oeste
Jaraguá,Norte
Jardim Ângela,Sul
Jardim Helena,Leste
Jardim Paulista,Oeste
Jardim São Luís,Sul
José Bonifácio,Leste
Lajeado,Leste
Lapa,Oeste
Liberdade,Centro
Limão,Norte
Mandaqui,Norte
Marsilac,Sul
Moema,Sul
Mooca,Leste
Morumbi,Oeste
Parelheiros,Sul
Pari,Leste
Parque do Carmo,Leste
Pedreira,Sul
Penha,Leste
Perdizes,Oeste
Perus,Norte
Pinheiros,Oeste
Pirituba,Norte
Ponte Rasa,Leste
Raposo Tavares,Oeste
República,Centro
Rio Pequeno,Oeste
Sacomã,Sul
Santa Cecília,Centro
Santana,Norte
Santo Amaro,Sul
São Domingos,Norte
São Lucas,Leste
São Mateus,Leste
São Miguel,Leste
São Rafael,Leste
Sapopemba,Leste
Saúde,Sul
Sé,Centro
Socorro,Sul
Tatuapé,Leste
Tremembé,Norte
Tucuruvi,Norte
Vila Andrade,Sul
Vila Curuçá,Leste
Vila Formosa,Leste
Vila Guilherme,Norte
Vila Jacuí,Leste
Vila Leopoldina,Oeste
Vila Maria,Norte
Vila Mariana,Sul
Vila Matilde,Leste
Vila Medeiros,Norte
Vila Prudente,Leste
Vila Sônia,Oeste
